Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
53125,NPU,TRANSCEIVER,1,PAM4,RS545,COPPER,SFI,
53125,NPU,TRANSCEIVER,1,PAM4,RS545,BACKPLANE,SFI,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,BACKPLANE,SR4,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,BACKPLANE,SR8,
106250,NPU,TRANSCEIVER,1,PAM4,RS544_2N,COPPER,SFI,
10000,NPU,,1,NRZ,NONE,COPPER,CR,
106250,NPU,TRANSCEIVER,1,PAM4,RS544_2N,BACKPLANE,SFI,
100000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,BACKPLANE,SFI,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
400000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,CR8,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,COPPER,CR4,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,BACKPLANE,SR4,
100000,NPU,,1,PAM4,NONE,COPPER,CR,
